begin
comment 
lattice   3.3956488880283203E+01   0.0000000000000000E+00   0.0000000000000000E+00
lattice   0.0000000000000000E+00   2.9407162188180479E+01   0.0000000000000000E+00
lattice   0.0000000000000000E+00   0.0000000000000000E+00   2.7725343724511134E+01
atom   1.4708536279616562E+00   4.1450689740541016E+00   7.5258100228541123E+00  O   3.3767571200631608E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   3.3888154922946931E+01   3.2563289867989420E+00   6.9168317101790917E+00  H  -1.6834198883435422E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   1.4556604896935492E+00   4.1359648113890959E+00   9.4038521842767064E+00  H  -1.6830692974773542E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   1.4659258470664644E+00   9.0387570182208332E+00   6.0245316550542050E-01  O   3.3618751001290675E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   2.9889891619446791E+00   9.9365733017689983E+00   2.7693482999885823E+01  H  -1.6830909654815049E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   3.3899382225441229E+01   9.9355188695569279E+00   2.7692676336824331E+01  H  -1.6864303172437323E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   5.7154017808157631E+00   1.1491185378642566E+01   7.5338039473340137E+00  O   3.3670260177418293E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   4.1763802684855236E+00   1.0621443332472275E+01   6.8988516059865335E+00  H  -1.6854125224759239E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   5.6995475738458712E+00   1.3258902866761794E+01   6.8988927547788936E+00  H  -1.6861575166848813E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   5.7055654123632467E+00   1.6897616635895760E+00   5.9443936422515053E-01  O   3.3850587962619044E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   7.2444684106575252E+00   2.5778681049238115E+00   2.7710448296510283E+01  H  -1.6853760339757101E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   5.7217408120506272E+00   1.6990223541041469E+00   2.4729199252363792E+00  H  -1.6877208841355934E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   5.7153793306942937E+00   1.1496851970544716E+01   1.2732287396960340E+01  O   3.3651576063599908E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   4.1768972519895167E+00   1.0607956664915028E+01   1.3341477279864868E+01  H  -1.6875309707077485E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   5.7002438307919787E+00   1.1487550262156207E+01   1.0854091529889061E+01  H  -1.6828081349656049E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   5.7153798804744556E+00   1.6954048466569840E+00   5.7929862301661554E+00  O   3.3780981603610383E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   4.1764533537140176E+00   2.5661265495813228E+00   6.4273845185350176E+00  H  -1.6853767788473206E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   5.7005825745832679E+00   2.9334574119959104E+01   6.4270595707083045E+00  H  -1.6868082141640151E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   9.9550628199883597E+00   9.0387319234427466E+00   5.7929504478902949E+00  O   3.3714988883295793E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   8.4320467496696043E+00   9.9359681226841587E+00   6.4283625649510761E+00  H  -1.6872922538738380E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   1.1478117057392547E+01   9.9356203601256237E+00   6.4290732645051207E+00  H  -1.6842484909246166E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   1.4708379121523474E+00   4.1394017284055247E+00   1.2724307377470375E+01  O   3.3717233000179636E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   3.3888214285331316E+01   3.2694294536799462E+00   1.3359211595536712E+01  H  -1.6858882042409176E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   1.4554556364103390E+00   5.9072882666736461E+00   1.3358319826927296E+01  H  -1.6866547727080441E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   1.4610591996693165E+00   4.1450379833285860E+00   2.1388469084521613E+01  O   3.3679959177486496E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   3.0002061347361924E+00   3.2574392827687078E+00   2.0779134123294611E+01  H  -1.6848632133789998E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   1.4764840489079381E+00   4.1356397956410653E+00   2.3266798875784925E+01  H  -1.6803617313642980E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   1.4708531193178729E+00   9.0415565313698387E+00   1.4457149589218043E+01  O   3.3753414850248903E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   3.3887810052244475E+01   9.9296015941037208E+00   1.3848166237936425E+01  H  -1.6860552515515081E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   1.4559013176054305E+00   9.0511278034446629E+00   1.6335313640421635E+01  H  -1.6859613358705625E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   5.7104786237878056E+00   1.1499675458719166E+01   2.1396482202391972E+01  O   3.3787302610359315E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   7.2340055105741561E+00   1.0602638913858161E+01   2.0761351263831553E+01  H  -1.6848858266239941E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
atom   4.1872570643313276E+00   1.0602826625068255E+01   2.0761208741294485E+01  H  -1.6844509485880640E-01   0.0000000000000000E+00                      NAN                      NAN                      NAN
